,parkID,surveyName,0
18,19,Everglades,"Zion,59.1% match<br>Yosemite,59.0% match<br>Pinnacles,58.9% match<br>Acadia,57.7% match<br>Rocky Mountain,57.2% match<br>Hawai'I Volcanoes,56.3% match<br>Death Valley,56.3% match<br>Haleakal_,53.8% match<br>Grand Canyon,53.1% match<br>Great Smoky Mountains,49.5% match<br>"
19,20,Gates of the Arctic,"Wind Cave,73.8% match<br>Dry Tortugas,73.4% match<br>Black Canyon of the Gunnison,73.2% match<br>Voyageurs,67.2% match<br>Lake Clark,60.9% match<br>Isle Royale,56.2% match<br>Guadalupe Mountains,56.0% match<br>Wrangell-St. Elias,45.4% match<br>Katmai,42.3% match<br>American Samoa,33.3% match<br>"
20,21,Gateway Arch,"Wind Cave,70.4% match<br>Arches,70.2% match<br>Acadia,69.0% match<br>Grand Canyon,68.6% match<br>Great Smoky Mountains,67.5% match<br>Carlsbad Caverns,67.3% match<br>Dry Tortugas,67.3% match<br>American Samoa,65.2% match<br>Biscayne,63.3% match<br>Guadalupe Mountains,63.2% match<br>"
21,22,Glacier Bay,"Redwood,74.6% match<br>Sequoia,74.3% match<br>Arches,72.0% match<br>Hawai'I Volcanoes,72.0% match<br>Rocky Mountain,70.2% match<br>Bryce Canyon,69.7% match<br>Yosemite,69.2% match<br>Kenai Fjords,69.0% match<br>Grand Canyon,66.9% match<br>Denali,51.9% match<br>"
22,23,Glacier,"Arches,61.7% match<br>Bryce Canyon,61.6% match<br>Pinnacles,61.3% match<br>Zion,59.2% match<br>Grand Canyon,58.3% match<br>Rocky Mountain,53.2% match<br>Yosemite,52.6% match<br>Badlands,51.7% match<br>Yellowstone,48.4% match<br>Grand Teton,41.8% match<br>"
23,24,Grand Canyon,"Grand Teton,48.8% match<br>Rocky Mountain,48.5% match<br>Death Valley,47.6% match<br>Yellowstone,44.8% match<br>Redwood,42.7% match<br>Sequoia,40.0% match<br>Arches,39.7% match<br>Bryce Canyon,34.4% match<br>Zion,31.2% match<br>Yosemite,28.5% match<br>"
24,25,Grand Teton,"Bryce Canyon,52.8% match<br>Joshua Tree,52.6% match<br>Zion,52.6% match<br>Death Valley,52.5% match<br>Badlands,49.8% match<br>Grand Canyon,48.8% match<br>Rocky Mountain,46.4% match<br>Yosemite,44.9% match<br>Glacier,41.8% match<br>Yellowstone,21.0% match<br>"
25,26,Great Basin,"Arches,74.8% match<br>Grand Canyon,74.8% match<br>Bryce Canyon,74.7% match<br>Rocky Mountain,74.4% match<br>Mesa Verde,74.2% match<br>Wrangell-St. Elias,74.1% match<br>Canyonlands,72.3% match<br>Zion,71.3% match<br>Capitol Reef,69.5% match<br>Great Sand Dunes,68.6% match<br>"
26,27,Great Sand Dunes,"Shenandoah,65.2% match<br>Grand Canyon,64.0% match<br>Wind Cave,62.3% match<br>Congaree,62.1% match<br>Capitol Reef,61.2% match<br>Mesa Verde,59.7% match<br>Theodore Roosevelt,59.3% match<br>Voyageurs,58.5% match<br>Rocky Mountain,48.7% match<br>Black Canyon of the Gunnison,40.9% match<br>"
27,28,Great Smoky Mountains,"Mammoth Cave,62.5% match<br>Badlands,62.4% match<br>Zion,61.8% match<br>Yosemite,60.0% match<br>Bryce Canyon,58.4% match<br>Yellowstone,58.3% match<br>Grand Canyon,52.5% match<br>Acadia,49.7% match<br>Everglades,49.5% match<br>Rocky Mountain,49.1% match<br>"
28,29,Guadalupe Mountains,"Death Valley,68.2% match<br>Congaree,67.5% match<br>Capitol Reef,65.7% match<br>Big Bend,64.2% match<br>Gateway Arch,63.2% match<br>White Sands,57.8% match<br>Gates of the Arctic,56.0% match<br>Wrangell-St. Elias,54.4% match<br>Carlsbad Caverns,53.0% match<br>American Samoa,45.0% match<br>"
