,parkID,surveyName,0
14,15,Cuyahoga Valley,"['1: Virgin Islands, 0.7102118503116619', '2: Shenandoah, 0.6972502319786915', '3: Congaree, 0.6959250005041658', '4: Rocky Mountain, 0.6913304835604717', '5: Hot Springs, 0.6814603801458268', '6: Great Smoky Mountains, 0.6470976414276547', '7: Wind Cave, 0.6409486173047688', '8: Biscayne, 0.6400397485833473', '9: Acadia, 0.6196384074702594', '10: Dry Tortugas, 0.4749026142059647']"
15,16,Death Valley,"['1: Pinnacles, 0.5178449345466485', '2: Arches, 0.48192190990918804', '3: Yellowstone, 0.4786740859257266', '4: Grand Canyon, 0.47584108097341093', '5: Kings Canyon, 0.453838720168369', '6: Yosemite, 0.4231128234356438', '7: Sequoia, 0.40940798665537337', '8: Zion, 0.38120068172317856', '9: Joshua Tree, 0.36008913922689834', '10: Bryce Canyon, 0.3095426569997515']"
16,17,Denali,"['1: Rocky Mountain, 0.6429809749812572', '2: Sequoia, 0.6426249173867147', '3: Olympic, 0.6413921773549609', '4: Lake Clark, 0.6373493929491453', '5: Grand Teton, 0.6319212593755908', '6: Katmai, 0.6288651904873973', '7: Bryce Canyon, 0.6269422747896205', '8: Yosemite, 0.6223963021764847', '9: Glacier Bay, 0.518888798256721', '10: Kenai Fjords, 0.3501649419283319']"
17,18,Dry Tortugas,"['1: Mammoth Cave, 0.6795573341150665', '2: Wrangell-St. Elias, 0.6779151136471184', '3: Gateway Arch, 0.6726492321875456', '4: Congaree, 0.6363039848188297', '5: Acadia, 0.6020582269967976', '6: Indiana Dunes, 0.5948766130364413', '7: American Samoa, 0.5272083123435347', '8: Cuyahoga Valley, 0.4749026142059647', '9: Virgin Islands, 0.4580622604001354', '10: Biscayne, 0.2635325387519054']"
18,19,Everglades,"['1: Zion, 0.5909858137956112', '2: Yosemite, 0.590032953818501', '3: Pinnacles, 0.5885190294525824', '4: Acadia, 0.577053844759615', '5: Rocky Mountain, 0.5724907420006049', ""6: Hawai'I Volcanoes, 0.5631882106726136"", '7: Death Valley, 0.5630777757698328', '8: Haleakal_, 0.5379009345863611', '9: Grand Canyon, 0.5309514930174521', '10: Great Smoky Mountains, 0.49451091241660583']"
19,20,Gates of the Arctic,"['1: Wind Cave, 0.7381385317168091', '2: Dry Tortugas, 0.7340546756932382', '3: Black Canyon of the Gunnison, 0.73214018792703', '4: Voyageurs, 0.6716946069012504', '5: Lake Clark, 0.6094332670575284', '6: Isle Royale, 0.5622594758683338', '7: Guadalupe Mountains, 0.5602802320565499', '8: Wrangell-St. Elias, 0.453641635291847', '9: Katmai, 0.42264973081037427', '10: American Samoa, 0.33333333333333337']"
20,21,Gateway Arch,"['1: Wind Cave, 0.7035227635488633', '2: Arches, 0.7015527658657366', '3: Acadia, 0.6903587824253632', '4: Grand Canyon, 0.6860726386954283', '5: Great Smoky Mountains, 0.6751657814549432', '6: Carlsbad Caverns, 0.6727255343215195', '7: Dry Tortugas, 0.6726492321875456', '8: American Samoa, 0.6516334928541911', '9: Biscayne, 0.6334095094443951', '10: Guadalupe Mountains, 0.6323592647645793']"
21,22,Glacier Bay,"['1: Redwood, 0.7461419960740463', '2: Sequoia, 0.7426865076310172', '3: Arches, 0.7201485826692743', ""4: Hawai'I Volcanoes, 0.7196849800244123"", '5: Rocky Mountain, 0.7019232223191967', '6: Bryce Canyon, 0.696770561346623', '7: Yosemite, 0.6921086296508662', '8: Kenai Fjords, 0.6904414737453656', '9: Grand Canyon, 0.6689055051696602', '10: Denali, 0.518888798256721']"
22,23,Glacier,"['1: Arches, 0.6166397529759708', '2: Bryce Canyon, 0.6162948742400398', '3: Pinnacles, 0.6130626972570963', '4: Zion, 0.5923536577986652', '5: Grand Canyon, 0.5834872957965018', '6: Rocky Mountain, 0.5318115315130572', '7: Yosemite, 0.5255339601027295', '8: Badlands, 0.5174869311650635', '9: Yellowstone, 0.4844111619845064', '10: Grand Teton, 0.4177979891807122']"
23,24,Grand Canyon,"['1: Grand Teton, 0.4884552699471263', '2: Rocky Mountain, 0.4846158262763479', '3: Death Valley, 0.47584108097341093', '4: Yellowstone, 0.447506297860662', '5: Redwood, 0.4269332931885208', '6: Sequoia, 0.4001796733350663', '7: Arches, 0.3974714187486591', '8: Bryce Canyon, 0.3442917066260579', '9: Zion, 0.3124723703630059', '10: Yosemite, 0.28533220465413345']"
24,25,Grand Teton,"['1: Bryce Canyon, 0.5282534425208181', '2: Joshua Tree, 0.5264200157945529', '3: Zion, 0.5263786643691907', '4: Death Valley, 0.5248248833302591', '5: Badlands, 0.4976490234585832', '6: Grand Canyon, 0.4884552699471263', '7: Rocky Mountain, 0.46367285308325024', '8: Yosemite, 0.4485455942529142', '9: Glacier, 0.4177979891807122', '10: Yellowstone, 0.2104373600230307']"
25,26,Great Basin,"['1: Arches, 0.7478496092632984', '2: Grand Canyon, 0.7476182366180381', '3: Bryce Canyon, 0.7474879520723843', '4: Rocky Mountain, 0.7438192704776492', '5: Mesa Verde, 0.7422387281678663', '6: Wrangell-St. Elias, 0.7411067859889656', '7: Canyonlands, 0.7231776823098717', '8: Zion, 0.712612869242429', '9: Capitol Reef, 0.6951393918142423', '10: Great Sand Dunes, 0.6856662219284886']"
26,27,Great Sand Dunes,"['1: Shenandoah, 0.651819674704466', '2: Grand Canyon, 0.6402149322437402', '3: Wind Cave, 0.6229550841372304', '4: Congaree, 0.6211535442568823', '5: Capitol Reef, 0.6120493574237456', '6: Mesa Verde, 0.5965915574676119', '7: Theodore Roosevelt, 0.5933534387938129', '8: Voyageurs, 0.5849721357540266', '9: Rocky Mountain, 0.48694000659389725', '10: Black Canyon of the Gunnison, 0.40873031923156156']"
